lat,lon,psi
51.931, -161.94, 0
52.025, -161.64, 0
52.117, -161.34, 0
52.209, -161.04, 0
52.299, -160.73, 0
52.389, -160.43, 0
52.477, -160.12, 0
52.565, -159.81, 0
52.652, -159.5, 0
52.737, -159.19, 0
52.822, -158.88, 0
52.906, -158.56, 0
52.989, -158.24, 0
53.07, -157.93, 0
53.151, -157.61, 0
53.231, -157.29, 0
53.309, -156.96, 0
53.387, -156.64, 0
53.463, -156.31, 0
53.539, -155.99, 0
53.613, -155.66, 0
53.686, -155.33, 0
53.758, -155, 0
53.829, -154.67, 0
53.899, -154.33, 0
53.968, -154, 0
54.035, -153.66, 0
54.102, -153.32, 0
54.167, -152.98, 0
54.231, -152.64, 0
54.294, -152.3, 0
54.356, -151.96, 0
54.417, -151.61, 0
54.476, -151.27, 0
54.534, -150.92, 0
54.592, -150.57, 0
54.647, -150.22, 0
54.702, -149.87, 0
54.755, -149.52, 0
54.807, -149.17, 0
54.858, -148.82, 0
54.908, -148.46, 0
54.956, -148.1, 0
55.003, -147.75, 0
55.049, -147.39, 0
55.094, -147.03, 0
55.137, -146.67, 0
55.179, -146.31, 0
55.22, -145.95, 0
55.259, -145.59, 0
55.297, -145.22, 0
55.334, -144.86, 0
55.37, -144.49, 0
55.404, -144.13, 0
55.437, -143.76, 0
55.468, -143.39, 0
55.498, -143.02, 0
55.527, -142.66, 0
55.554, -142.29, 0
55.581, -141.92, 0
55.605, -141.55, 0
55.629, -141.18, 0
55.651, -140.8, 0
55.671, -140.43, 0
55.691, -140.06, 0
55.709, -139.69, 0
55.725, -139.31, 0
55.741, -138.94, 0
55.754, -138.56, 0
55.767, -138.19, 0
55.778, -137.82, 0
55.788, -137.44, 0
55.796, -137.07, 0
55.803, -136.69, 0
55.808, -136.31, 0
55.813, -135.94, 0
55.815, -135.56, 0
55.817, -135.19, 0
55.817, -134.81, 0
55.815, -134.44, 0
55.813, -134.06, 0
55.808, -133.69, 0
55.803, -133.31, 0
55.796, -132.93, 0
55.788, -132.56, 0
55.778, -132.18, 0
55.767, -131.81, 0
55.754, -131.44, 0
55.741, -131.06, 0
55.725, -130.69, 0
55.709, -130.31, 0
55.691, -129.94, 0
55.671, -129.57, 0
55.651, -129.2, 0
55.629, -128.82, 0
55.605, -128.45, 0
55.581, -128.08, 0
55.554, -127.71, 0
55.527, -127.34, 0
55.498, -126.98, 0
55.468, -126.61, 0
55.437, -126.24, 0
55.404, -125.87, 0
55.37, -125.51, 0
55.334, -125.14, 0
55.297, -124.78, 0
55.259, -124.41, 0
55.22, -124.05, 0
55.179, -123.69, 0
55.137, -123.33, 0
55.094, -122.97, 0
55.049, -122.61, 0
55.003, -122.25, 0
54.956, -121.9, 0
54.908, -121.54, 0
54.858, -121.18, 0
54.807, -120.83, 0
54.755, -120.48, 0
54.702, -120.13, 0
54.647, -119.78, 0
54.592, -119.43, 0
54.534, -119.08, 0
54.476, -118.73, 0
54.417, -118.39, 0
54.356, -118.04, 0
54.294, -117.7, 0
54.231, -117.36, 0
54.167, -117.02, 0
54.102, -116.68, 0
54.035, -116.34, 0
53.968, -116, 0
53.899, -115.67, 0
53.829, -115.33, 0
53.758, -115, 0
53.686, -114.67, 0
53.613, -114.34, 0
53.539, -114.01, 0
53.463, -113.69, 0
53.387, -113.36, 0
53.309, -113.04, 0
53.231, -112.71, 0
53.151, -112.39, 0
53.07, -112.07, 0
52.989, -111.76, 0
52.906, -111.44, 0
52.822, -111.12, 0
52.737, -110.81, 0
52.652, -110.5, 0
52.565, -110.19, 0
52.477, -109.88, 0
52.389, -109.57, 0
52.299, -109.27, 0
52.209, -108.96, 0
52.117, -108.66, 0
52.025, -108.36, 0
51.931, -108.06, 0
51.837, -107.76, 0
51.742, -107.47, 0
51.646, -107.17, 0
51.549, -106.88, 0
51.451, -106.59, 0
51.352, -106.3, 0
51.253, -106.01, 0
51.152, -105.72, 0
51.051, -105.44, 0
50.949, -105.15, 0
50.846, -104.87, 0
50.743, -104.59, 0
50.638, -104.31, 0
50.533, -104.04, 0
50.427, -103.76, 0
50.32, -103.49, 0
50.213, -103.21, 0
50.104, -102.94, 0
49.995, -102.67, 0
49.885, -102.41, 0
49.775, -102.14, 0
49.664, -101.88, 0
49.552, -101.61, 0
49.439, -101.35, 0
49.326, -101.09, 0
49.212, -100.84, 0
49.097, -100.58, 0
48.981, -100.32, 0
48.865, -100.07, 0
48.749, -99.819, 0
48.631, -99.569, 0
48.513, -99.32, 0
48.395, -99.073, 0
48.276, -98.828, 0
48.156, -98.584, 0
48.036, -98.341, 0
47.915, -98.1, 0
47.793, -97.861, 0
47.671, -97.623, 0
47.548, -97.386, 0
47.425, -97.151, 0
47.301, -96.918, 0
47.177, -96.685, 0
47.052, -96.455, 0
46.926, -96.226, 0
46.801, -95.998, 0
46.674, -95.772, 0
46.547, -95.547, 0
46.42, -95.324, 0
46.292, -95.102, 0
46.163, -94.882, 0
46.035, -94.663, 0
45.905, -94.445, 0
45.775, -94.229, 0
45.645, -94.014, 0
45.514, -93.801, 0
45.383, -93.589, 0
45.252, -93.378, 0
45.12, -93.169, 0
44.987, -92.961, 0
44.855, -92.754, 0
44.721, -92.549, 0
44.588, -92.345, 0
44.454, -92.143, 0
44.319, -91.941, 0
44.185, -91.742, 0
44.05, -91.543, 0
43.914, -91.346, 0
43.778, -91.15, 0
43.642, -90.955, 0
43.506, -90.761, 0
43.369, -90.569, 0
43.232, -90.378, 0
43.094, -90.188, 0
42.956, -90, 0
42.818, -89.813, 0
42.68, -89.627, 0
42.541, -89.442, 0
42.402, -89.258, 0
